Reported Date,Firm,FromGrade,ToGrade,Outlook
4/25/2023,Mizuho,Neutral,Neutral,main
4/26/2023,Wedbush,,Outperform,reit
4/26/2023,BMO Capital,,Outperform,main
4/26/2023,Morgan Stanley,,Overweight,main
4/26/2023,Raymond James,,Outperform,main
4/26/2023,RBC Capital,,Outperform,main
4/26/2023,Truist Securities,,Buy,main
4/26/2023,Baird,,Outperform,main
4/26/2023,Citigroup,,Buy,main
4/26/2023,B of A Securities,Buy,Buy,main
5/31/2023,Wedbush,Outperform,Outperform,reit
5/31/2023,B of A Securities,Buy,Buy,main
6/20/2023,B of A Securities,Buy,Buy,main
7/24/2023,Barclays,Overweight,Overweight,main
7/24/2023,Oppenheimer,Outperform,Outperform,reit
7/25/2023,Mizuho,Neutral,Neutral,main
7/25/2023,B of A Securities,Buy,Buy,main
7/26/2023,Raymond James,Outperform,Outperform,main
7/26/2023,Wells Fargo,Overweight,Overweight,main
7/26/2023,Wedbush,Outperform,Outperform,reit
7/26/2023,Credit Suisse,Outperform,Outperform,main
7/26/2023,Citigroup,Buy,Buy,main
7/26/2023,RBC Capital,Outperform,Outperform,main
7/26/2023,Susquehanna,Positive,Positive,main
7/26/2023,Morgan Stanley,Overweight,Overweight,main
7/26/2023,"Keefe, Bruyette & Woods",Outperform,Outperform,main
7/31/2023,Mizuho,Neutral,Neutral,main
8/22/2023,JP Morgan,Overweight,Overweight,main
8/29/2023,Mizuho,Neutral,Neutral,reit
8/31/2023,Wedbush,Outperform,Outperform,reit
9/14/2023,Baird,Outperform,Outperform,reit
10/9/2023,JP Morgan,Overweight,Overweight,main
10/12/2023,Seaport Global,,Neutral,init
10/12/2023,Barclays,Overweight,Overweight,main
10/13/2023,HSBC,,Hold,init
10/18/2023,Keybanc,Overweight,Overweight,main
10/18/2023,Oppenheimer,Outperform,Outperform,main
10/25/2023,Raymond James,Outperform,Outperform,main
10/25/2023,Wedbush,Outperform,Outperform,reit
10/30/2023,Barclays,Overweight,Overweight,main
10/31/2023,Mizuho,Neutral,Neutral,main
12/5/2023,BMO Capital,,Outperform,init
12/12/2023,Jefferies,Buy,Buy,main
12/14/2023,UBS,Buy,Buy,main
12/20/2023,"Monness, Crespi, Hardt",,Neutral,init
1/8/2024,Keybanc,Overweight,Overweight,main
1/18/2024,Mizuho,Neutral,Neutral,main
1/26/2024,Raymond James,Outperform,Outperform,main
1/26/2024,Wedbush,Outperform,Outperform,main
1/26/2024,"Keefe, Bruyette & Woods",Outperform,Outperform,main
1/26/2024,RBC Capital,Outperform,Outperform,main
1/26/2024,UBS,Buy,Buy,main
1/26/2024,Susquehanna,Positive,Positive,main
1/29/2024,Barclays,Overweight,Overweight,main
3/6/2024,Wells Fargo,Overweight,Overweight,main
3/8/2024,Jefferies,Buy,Buy,main
3/26/2024,Evercore ISI Group,Outperform,Outperform,main
3/27/2024,Redburn Atlantic,Buy,Neutral,down
3/27/2024,Mizuho,Neutral,Neutral,main
4/11/2024,TD Cowen,,Buy,init
4/17/2024,Baird,Outperform,Outperform,main
4/24/2024,Oppenheimer,Outperform,Outperform,main
4/24/2024,Wedbush,Outperform,Outperform,main
4/24/2024,Citigroup,Buy,Buy,main
4/24/2024,UBS,Buy,Buy,main
4/24/2024,RBC Capital,Outperform,Outperform,main
4/24/2024,Macquarie,Outperform,Outperform,main
5/2/2024,Mizuho,Neutral,Neutral,main
5/13/2024,Piper Sandler,,Overweight,init
6/25/2024,Evercore ISI Group,Outperform,Outperform,main
7/10/2024,B of A Securities,Buy,Neutral,down
7/18/2024,JP Morgan,Overweight,Overweight,main
7/24/2024,Piper Sandler,Overweight,Overweight,main
7/24/2024,Morgan Stanley,Overweight,Overweight,main
7/24/2024,TD Cowen,Buy,Buy,main
7/24/2024,Jefferies,Buy,Buy,main
7/24/2024,JP Morgan,Overweight,Overweight,main
7/24/2024,RBC Capital,Outperform,Outperform,main
7/24/2024,Citigroup,Buy,Buy,main
7/24/2024,Macquarie,Outperform,Outperform,main
8/20/2024,JP Morgan,Overweight,Overweight,main
9/4/2024,Compass Point,,Buy,init
9/12/2024,Goldman Sachs,Buy,Buy,main
9/17/2024,B of A Securities,Neutral,Neutral,main
9/24/2024,"Monness, Crespi, Hardt",,Neutral,reit
9/25/2024,Morgan Stanley,Overweight,Overweight,main
9/27/2024,Macquarie,Outperform,Outperform,main
10/3/2024,BMO Capital,Outperform,Outperform,main
10/17/2024,Baird,Outperform,Outperform,main
10/30/2024,Piper Sandler,Overweight,Overweight,main
10/30/2024,Baird,Outperform,Outperform,main
10/30/2024,Deutsche Bank,Buy,Buy,main
10/30/2024,Morgan Stanley,Overweight,Overweight,main
10/30/2024,Susquehanna,Positive,Positive,main
10/30/2024,BMO Capital,Outperform,Outperform,main
10/30/2024,Oppenheimer,Outperform,Outperform,reit
10/30/2024,RBC Capital,Outperform,Outperform,main
10/30/2024,Jefferies,Buy,Buy,main
10/30/2024,Citigroup,Buy,Buy,main
10/30/2024,TD Cowen,Buy,Buy,main
10/30/2024,Macquarie,Outperform,Outperform,main
11/1/2024,Mizuho,Neutral,Neutral,main
11/4/2024,Barclays,Overweight,Overweight,main
12/9/2024,"Keefe, Bruyette & Woods",Outperform,Outperform,main
12/11/2024,Susquehanna,Positive,Positive,main
