rank,Company,Symbol,Weight (Percentage),Price,Chg,Change (Percentage)
191,Cummins Inc.,CMI,0.1,360.95,-0.91,-0.25
192,Newmont Corporation,NEM,0.1,42.89,-0.3,-0.68
193,Copart Inc,CPRT,0.1,55.47,-1.05,-1.87
194,Quanta Services Inc.,PWR,0.1,333.78,3.0,0.91
195,Metlife Inc.,MET,0.1,82.62,-0.01,-0.01
196,American International Group Inc.,AIG,0.1,74.67,-0.63,-0.84
197,Dominion Energy Inc.,D,0.1,57.36,-0.23,-0.41
198,D.R. Horton Inc.,DHI,0.1,162.07,-0.23,-0.14
199,Howmet Aerospace Inc.,HWM,0.09,118.7,2.69,2.32
200,Fidelity National Information Services Inc.,FIS,0.09,85.91,-0.17,-0.2
201,Msci Inc.,MSCI,0.09,582.0,-15.13,-2.53
202,Fastenal Co,FAST,0.09,82.03,0.44,0.54
203,Ross Stores Inc,ROST,0.09,139.68,0.42,0.3
204,L3harris Technologies Inc.,LHX,0.09,245.46,1.88,0.77
205,Kimberly-Clark Corp.,KMB,0.09,136.31,0.7,0.52
206,Crown Castle Inc.,CCI,0.09,104.78,0.31,0.29
207,Kenvue Inc.,KVUE,0.09,23.78,0.08,0.36
208,Valero Energy Corporation,VLO,0.09,141.08,-0.94,-0.66
209,Paychex Inc,PAYX,0.09,141.91,1.25,0.89
210,Pg&e Corporation,PCG,0.09,21.03,0.02,0.12
211,Public Service Enterprise Group Incorporated,PEG,0.09,90.5,0.41,0.45
212,Ametek Inc.,AME,0.09,192.3,-1.16,-0.6
213,Te Connectivity Ltd,TEL,0.09,147.8,0.84,0.58
214,Targa Resources Corp.,TRGP,0.09,202.2,-1.38,-0.68
215,Prudential Financial Inc.,PRU,0.09,124.13,-0.48,-0.39
216,Axon Enterprise Inc.,AXON,0.09,603.44,-6.76,-1.11
217,Discover Financial Services,DFS,0.09,172.77,0.26,0.15
218,Ford Motor Company,F,0.09,10.72,-0.34,-3.03
219,Republic Services Inc.,RSG,0.09,211.51,0.59,0.28
220,Baker Hughes Company,BKR,0.09,44.23,1.36,3.17
221,Edwards Lifesciences Corp,EW,0.08,69.54,-0.67,-0.95
222,Cencora Inc.,COR,0.08,241.8,0.81,0.34
223,Delta Air Lines Inc.,DAL,0.08,63.6,-1.15,-1.78
224,Ingersoll Rand Inc.,IR,0.08,103.11,0.73,0.71
